time_sec,algae,daphnia,beetles,d_stealth,b_vision,b_aggression
0,65,29,5,0.5,1.0568841180764341,0.5308898555634685
10,200,0,6,0,1.0403021503612533,0.5632784012307009
20,200,0,6,0,1.0403021503612533,0.5632784012307009
30,200,0,5,0,1.0568841180764341,0.5308898555634685
40,200,0,3,0,1.0673739613509108,0.48344000768321344
50,200,0,1,0,1.262136338593216,0.5963878869983076
60,200,0,0,0,0,0
70,200,0,0,0,0,0
80,200,0,0,0,0,0
90,200,0,0,0,0,0
100,200,0,0,0,0,0
110,200,0,0,0,0,0
120,200,0,0,0,0,0
131,200,0,0,0,0,0
141,200,0,0,0,0,0
151,200,0,0,0,0,0
161,200,0,0,0,0,0
171,200,0,0,0,0,0
181,200,0,0,0,0,0
191,200,0,0,0,0,0
201,200,0,0,0,0,0
211,200,0,0,0,0,0
221,200,0,0,0,0,0
231,200,0,0,0,0,0
241,200,0,0,0,0,0
252,200,0,0,0,0,0
262,200,0,0,0,0,0
272,200,0,0,0,0,0
282,200,0,0,0,0,0
292,200,0,0,0,0,0
302,200,0,0,0,0,0
312,200,0,0,0,0,0
322,200,0,0,0,0,0
332,200,0,0,0,0,0
342,200,0,0,0,0,0
352,200,0,0,0,0,0
362,200,0,0,0,0,0
372,200,0,0,0,0,0
